,user,text,favorite_count,retweet_count,created_at
0,FutSheriff,@LeanDesign_ pedri and dembulance in the golden ball https://t.co/my9Zg2tzQy,18,1,2023-05-14 17:37:54+00:00
1,FutSheriff,@LeanDesign_ por eso tengo a criminalx,19,1,2023-05-14 17:35:13+00:00
2,FutSheriff,brighton 3-0😭😭😭😭😭,473,18,2023-05-14 17:27:41+00:00
3,FutSheriff,https://t.co/sNcwdZANzc,976,8,2023-05-14 17:18:08+00:00
4,FutSheriff,@VOXI_UK sheriff leaked your headache,5,0,2023-05-14 17:01:32+00:00
5,FutSheriff,"🚨Grifo🇮🇹 is coming as SBC soon!

Stats are prediction ✍🏻

Make sure to follow @FutSheriff &amp; @Criminal__x 

#fifa23 https://t.co/WRdjk7r72l",981,22,2023-05-14 16:55:35+00:00
6,FutSheriff,hey @RaphGuerreiro 😅,417,0,2023-05-14 16:15:22+00:00
7,FutSheriff,"🚨Guerreiro🇵🇹 is coming as SBC soon!

Stats are prediction ✍🏻

Make sure to follow @FutSheriff and @Criminal__x 

#fifa23 https://t.co/fxbQ10ClTh",5892,111,2023-05-14 16:10:29+00:00
8,FutSheriff,"🚨Kaku is coming as SAUDI TOTS🔥

Stats are prediction ✍🏻

Make sure to follow @FutSheriff &amp; @Criminal__x 

#fifa23 https://t.co/fzCUV8Ls8p",1013,22,2023-05-14 15:35:35+00:00
9,FutSheriff,forgot to pick the winner so will do it soon https://t.co/ERx0QP0d1d,384,79,2023-05-13 00:05:29+00:00
10,FutSheriff,@Plastician 🤣🤣,1,0,2023-05-12 20:26:55+00:00
11,FutSheriff,@Itshaber just found his highlights @Zico_MTH @Itshaber https://t.co/L3MZggsKgp,53,3,2023-05-12 20:20:58+00:00
12,FutSheriff,"pain….

CERNY IS THE GOAT!!!!!!

#Sorare https://t.co/KyHT7M9IHM",243,5,2023-05-12 20:11:47+00:00
13,FutSheriff,@DjMaRiiO WHERE IS ROXA @roxasorg13,665,23,2023-05-12 18:59:24+00:00
14,FutSheriff,@LeanDesign_ https://t.co/31TD7DEJYq,327,8,2023-05-12 18:53:40+00:00
15,FutSheriff,Code “Sheriff” ⚡️ https://t.co/U2CB9ViQK0,100,1,2023-05-12 17:43:54+00:00
16,FutSheriff,"Reus SBC!

W? https://t.co/gYdcmT9Ahj",4364,21,2023-05-12 17:03:23+00:00
17,FutSheriff,@roxasorg13 dos porfa,21,1,2023-05-12 14:34:06+00:00
18,FutSheriff,@roxasorg13 https://t.co/EUH13LEY7c,103,1,2023-05-12 14:31:38+00:00
19,FutSheriff,"You can simple put the player in his alternative position, without using this card. https://t.co/HhqYqeU4wS",3773,44,2023-05-12 12:53:07+00:00
20,FutSheriff,"🚨EA FC 24:

As leaked before, no POSITION MODIFIER CARDS anymore.

W or L?

#eafc",6694,55,2023-05-12 12:49:30+00:00
21,FutSheriff,"🚨More Bundesliga TOTS⚡️

Stats are prediction ✍🏻

Make sure to follow @FutSheriff and @Criminal__x 

#fifa23 https://t.co/xpOS9qsw9H https://t.co/Fpow3lXx1j",1904,25,2023-05-12 12:30:25+00:00
22,FutSheriff,Thoughts?! https://t.co/1FACyLmRF1,426,11,2023-05-12 11:48:37+00:00
23,FutSheriff,"If you want to BUY or SELL coins..

Your answer is @FUTCoinShop !

Use creator code “Sheriff” for more benefits🔥 https://t.co/4Pc3De4wMR",95,3,2023-05-12 11:31:02+00:00
24,FutSheriff,@EllSorare1 @fctwente @TwenteInsite all star tbh,1,0,2023-05-12 11:27:47+00:00
25,FutSheriff,@LeanDesign_ https://t.co/OH5gyfITbc,36,0,2023-05-11 22:47:24+00:00
26,FutSheriff,@fctwente 🔥🔥🔥🔥,20,0,2023-05-11 22:17:48+00:00
27,FutSheriff,"I might cap Cerny instead

But this week looks promising

Let's go @fctwente @TwenteInsite 

#sorare https://t.co/XdWMjf6OeY",105,2,2023-05-11 21:51:53+00:00
28,FutSheriff,"🚨More Bundesliga TOTS players confirmed⚡️

Stats predicted✍🏻

Make sure to follow @FutSheriff and @Criminal__x 

#fifa23 https://t.co/8KTu3uWCpb",3780,74,2023-05-11 19:37:33+00:00
29,FutSheriff,"🚨BVB TOTS players⚡️

Jude😍

Make sure to follow @FutSheriff and @Criminal__x 

#fifa23 https://t.co/K051p0Tp7h",3797,123,2023-05-11 18:19:37+00:00
30,FutSheriff,"🚨Sané, Musiala and De Ligt are confirmed as Bundesliga TOTS✅

Stats are prediction 

Make sure to follow @FutSheriff and @Criminal__x !

#fifa23 https://t.co/vjTKqbnQzF",3247,64,2023-05-11 18:09:40+00:00
31,FutSheriff,thoughts? https://t.co/Uz3ux9qfRa,3461,20,2023-05-11 17:01:54+00:00
32,FutSheriff,"🚨TOTS BUNDESLIGA GIVEAWAY!

-LIKE ❤️

- FOLLOW @Piquelme21 + @LordFootyTips  + @PurelyFootball ✅

Simple as that!

Winner soon

#fifa23 https://t.co/M6uNeb7USq",3109,793,2023-05-11 16:48:27+00:00
33,FutSheriff,"🚨Davies🇨🇦 is coming in BUNDESLIGA TOTS⚡️

Stats are prediction ✍🏻

Make sure to follow @FutSheriff and @Criminal__x 

#fifa23 https://t.co/EPKOBhujok",5416,81,2023-05-11 16:46:59+00:00
34,FutSheriff,@roxasorg13 @FraFilter cada día más esquizofrénico,91,0,2023-05-10 21:26:48+00:00
35,FutSheriff,@Doumbia_FUT ? https://t.co/BqndkWAcUb,14,0,2023-05-10 21:08:25+00:00
36,FutSheriff,@Doumbia_FUT https://t.co/S0dnXGedsH,42,0,2023-05-10 21:06:29+00:00
37,FutSheriff,@FraFilter https://t.co/edpFGx3fB0,82,1,2023-05-10 21:05:53+00:00
38,FutSheriff,@FraFilter por eso ya no lo veo frafilter,279,1,2023-05-10 20:46:49+00:00
39,FutSheriff,@MattHDGamer never,70,2,2023-05-10 19:33:17+00:00
40,FutSheriff,FORZA MILAN,897,10,2023-05-10 19:33:06+00:00
41,FutSheriff,that’s not a pen https://t.co/ValWPknz4G,415,4,2023-05-10 19:32:21+00:00
42,FutSheriff,"wasn’t expecting to be that easy for Inter

Sad",635,4,2023-05-10 19:31:41+00:00
43,FutSheriff,wtf??,943,14,2023-05-10 19:11:24+00:00
44,FutSheriff,he is the middle card in the loading screen👍,751,0,2023-05-10 19:03:00+00:00
45,FutSheriff,"🚨For what🇸🇳 is coming as For What during Bundesliga TOTS

For what✍🏻

For what?

Make sure to for what @FutSheriff and @Criminal__x !

#forwhat? https://t.co/Kcl0yJXagi",7114,105,2023-05-10 19:02:43+00:00
46,FutSheriff,show me this guarantee EPL pack!,1920,11,2023-05-10 17:33:27+00:00
47,FutSheriff,"He seems to be now in PACKS and not as SBC anymore.

#fifa23 https://t.co/SiZMNWnG0e",4004,51,2023-05-10 17:26:59+00:00
48,FutSheriff,forza milan,1553,101,2023-05-10 15:58:43+00:00
49,FutSheriff,@SnikOw_1 plays for a L club,99,0,2023-05-10 15:20:33+00:00
50,FutSheriff,"Valverde
Tchouameni
Jude
Kroos
Modric

🥶 https://t.co/WHR4M5HtCx",2045,47,2023-05-10 15:20:03+00:00
51,FutSheriff,@NepentheZ legend🔥❤️,59,1,2023-05-10 15:15:33+00:00
52,FutSheriff,@TheVieiraGuy @Sorare @AurelRiviere @ni2las your journey is only starting bro... better times are coming for you😘,3,0,2023-05-10 13:43:54+00:00
53,FutSheriff,@AurelRiviere @Sorare 😍😍😍,12,0,2023-05-10 13:42:58+00:00
